SaveData[603], 0x042D,
SaveData[604], 0x042E,
SaveData[605], 0x0429,
SaveData[606], 0x042C,
SaveData[607], 0x042D,
SaveData[608], 0x042D,
SaveData[609], 0x042B,
SaveData[610], 0x042A,
SaveData[611], 0x042D,
SaveData[612], 0x042D,
SaveData[613], 0x0427,
SaveData[614], 0x0429,
SaveData[615], 0x0429,
SaveData[616], 0x0425,
SaveData[617], 0x0427,
SaveData[618], 0x0423,
SaveData[619], 0x0423,
SaveData[620], 0x0427,
SaveData[621], 0x0423,
SaveData[622], 0x0427,
SaveData[623], 0x0421,
SaveData[624], 0x0429,
SaveData[625], 0x0421,
SaveData[626], 0x041D,
SaveData[627], 0x041F,
SaveData[628], 0x041B,
SaveData[629], 0x041B,
SaveData[630], 0x041D,
SaveData[631], 0x041D,
SaveData[632], 0x041E,
SaveData[633], 0x0413,
SaveData[634], 0x0419,
SaveData[635], 0x0419,
SaveData[636], 0x041C,
SaveData[637], 0x0415,
SaveData[638], 0x0416,
SaveData[639], 0x0415,
SaveData[640], 0x0417,
SaveData[641], 0x0417,
SaveData[642], 0x0413,
SaveData[643], 0x0413,
SaveData[644], 0x0417,
SaveData[645], 0x0413,
SaveData[646], 0x0412,
SaveData[647], 0x040F,
SaveData[648], 0x0411,
SaveData[649], 0x0411,
SaveData[650], 0x0409,
SaveData[651], 0x040D,
SaveData[652], 0x040F,
SaveData[653], 0x0405,
SaveData[654], 0x040C,
SaveData[655], 0x0405,
SaveData[656], 0x040D,
SaveData[657], 0x040B,
SaveData[658], 0x0405,
SaveData[659], 0x0405,
SaveData[660], 0x0404,
SaveData[661], 0x0405,
SaveData[662], 0x0403,
SaveData[663], 0x03FF,
SaveData[664], 0x0403,
SaveData[665], 0x0405,
SaveData[666], 0x0401,
SaveData[667], 0x03FF,
SaveData[668], 0x0401,
SaveData[669], 0x03FF,
SaveData[670], 0x0401,
SaveData[671], 0x03F7,
SaveData[672], 0x03FD,
SaveData[673], 0x03FD,
SaveData[674], 0x03F9,
SaveData[675], 0x03F9,
SaveData[676], 0x03F9,
SaveData[677], 0x03F7,
SaveData[678], 0x03F9,
SaveData[679], 0x03F3,
SaveData[680], 0x03F5,
SaveData[681], 0x03F7,
SaveData[682], 0x03F5,
SaveData[683], 0x03F5,
SaveData[684], 0x03F1,
SaveData[685], 0x03EF,
SaveData[686], 0x03F3,
SaveData[687], 0x03EB,
SaveData[688], 0x03F1,
SaveData[689], 0x03F0,
SaveData[690], 0x03ED,
SaveData[691], 0x03E9,
SaveData[692], 0x03EB,
SaveData[693], 0x03E9,
SaveData[694], 0x03ED,
SaveData[695], 0x03E8,
SaveData[696], 0x03E7,
SaveData[697], 0x03E7,
SaveData[698], 0x03E9,
SaveData[699], 0x03E8,
SaveData[700], 0x03E1,
SaveData[701], 0x03E1,
SaveData[702], 0x03EB,
SaveData[703], 0x03DF,
SaveData[704], 0x03E4,
SaveData[705], 0x03E0,
SaveData[706], 0x03E1,
SaveData[707], 0x03DF,
SaveData[708], 0x03DE,
SaveData[709], 0x03DB,
SaveData[710], 0x03DF,
SaveData[711], 0x03D9,
SaveData[712], 0x03D9,
SaveData[713], 0x03D5,
SaveData[714], 0x03DB,
SaveData[715], 0x03D7,
SaveData[716], 0x03D1,
SaveData[717], 0x03D5,
SaveData[718], 0x03D5,
SaveData[719], 0x03D3,
SaveData[720], 0x03D5,
SaveData[721], 0x03CF,
SaveData[722], 0x03D5,
SaveData[723], 0x03D1,
SaveData[724], 0x03CD,
SaveData[725], 0x03CF,
SaveData[726], 0x03D1,
SaveData[727], 0x03C9,
SaveData[728], 0x03CC,
SaveData[729], 0x03C5,
SaveData[730], 0x03CB,
SaveData[731], 0x03CE,
SaveData[732], 0x03C5,
SaveData[733], 0x03C6,
SaveData[734], 0x03C7,
SaveData[735], 0x03C5,
SaveData[736], 0x03C8,
SaveData[737], 0x03C0,
SaveData[738], 0x03C0,
SaveData[739], 0x03C4,
SaveData[740], 0x03C0,
SaveData[741], 0x03BE,
SaveData[742], 0x03C0,
SaveData[743], 0x03BE,
SaveData[744], 0x03BA,
SaveData[745], 0x03B4,
SaveData[746], 0x03BD,
SaveData[747], 0x03C0,
SaveData[748], 0x03B9,
SaveData[749], 0x03BA,
SaveData[750], 0x03B7,
SaveData[751], 0x03B4,
SaveData[752], 0x03B1,
SaveData[753], 0x03AF,
SaveData[754], 0x03B6,
SaveData[755], 0x03B4,
SaveData[756], 0x03B1,
SaveData[757], 0x03AE,
SaveData[758], 0x03AF,
SaveData[759], 0x03B2,
SaveData[760], 0x03AD,
SaveData[761], 0x03AD,
SaveData[762], 0x03AB,
SaveData[763], 0x03A9,
SaveData[764], 0x03AB,
SaveData[765], 0x03AC,
SaveData[766], 0x03A5,
SaveData[767], 0x03AA,
SaveData[768], 0x03AA,
SaveData[769], 0x03A2,
SaveData[770], 0x03A9,
SaveData[771], 0x03A6,
SaveData[772], 0x03A3,
SaveData[773], 0x03A1,
SaveData[774], 0x03A5,
SaveData[775], 0x03A0,
SaveData[776], 0x03A2,
SaveData[777], 0x039C,
SaveData[778], 0x03A4,
SaveData[779], 0x039A,
SaveData[780], 0x039B,
SaveData[781], 0x0399,
SaveData[782], 0x0395,
SaveData[783], 0x0398,
SaveData[784], 0x039C,
SaveData[785], 0x0396,
SaveData[786], 0x0397,
SaveData[787], 0x0398,
SaveData[788], 0x039B,
SaveData[789], 0x0397,
SaveData[790], 0x0392,
SaveData[791], 0x0390,
SaveData[792], 0x0393,
SaveData[793], 0x0391,
SaveData[794], 0x038C,
SaveData[795], 0x038E,
SaveData[796], 0x0390,
SaveData[797], 0x0391,
SaveData[798], 0x0389,
SaveData[799], 0x038E,
SaveData[800], 0x038E,
SaveData[801], 0x0388,
SaveData[802], 0x038B,
SaveData[803], 0x0386,
SaveData[804], 0x038B,
SaveData[805], 0x038A,
SaveData[806], 0x0385,
SaveData[807], 0x038A,
SaveData[808], 0x0386,
SaveData[809], 0x0384,
SaveData[810], 0x0385,
SaveData[811], 0x0380,
SaveData[812], 0x0381,
SaveData[813], 0x0384,
SaveData[814], 0x037B,
SaveData[815], 0x0382,
SaveData[816], 0x0380,
SaveData[817], 0x037C,
SaveData[818], 0x0380,
SaveData[819], 0x037A,
SaveData[820], 0x037D,
SaveData[821], 0x037F,
SaveData[822], 0x0377,
SaveData[823], 0x037C,
SaveData[824], 0x0379,
SaveData[825], 0x0379,
SaveData[826], 0x0375,
SaveData[827], 0x0376,
SaveData[828], 0x0379,
SaveData[829], 0x0375,
SaveData[830], 0x0371,
SaveData[831], 0x0374,
SaveData[832], 0x0372,
SaveData[833], 0x0374,
SaveData[834], 0x0375,
SaveData[835], 0x036E,
SaveData[836], 0x0373,
SaveData[837], 0x036E,
SaveData[838], 0x036D,
SaveData[839], 0x036E,
SaveData[840], 0x036B,
SaveData[841], 0x036E,
SaveData[842], 0x036F,
SaveData[843], 0x036A,
SaveData[844], 0x036D,
SaveData[845], 0x0369,
SaveData[846], 0x0369,
