SaveData[487], 0x043E,
SaveData[488], 0x0440,
SaveData[489], 0x043E,
SaveData[490], 0x043E,
SaveData[491], 0x0440,
SaveData[492], 0x0440,
SaveData[493], 0x0442,
SaveData[494], 0x0436,
SaveData[495], 0x0440,
SaveData[496], 0x043E,
SaveData[497], 0x043E,
SaveData[498], 0x0440,
SaveData[499], 0x043E,
SaveData[500], 0x043F,
SaveData[501], 0x0444,
SaveData[502], 0x0438,
SaveData[503], 0x043C,
SaveData[504], 0x0440,
SaveData[505], 0x0440,
SaveData[506], 0x043E,
SaveData[507], 0x043E,
SaveData[508], 0x0440,
SaveData[509], 0x0442,
SaveData[510], 0x043A,
SaveData[511], 0x0443,
SaveData[512], 0x043E,
SaveData[513], 0x043E,
SaveData[514], 0x0440,
SaveData[515], 0x043E,
SaveData[516], 0x043C,
SaveData[517], 0x0444,
SaveData[518], 0x043A,
SaveData[519], 0x0440,
SaveData[520], 0x0440,
SaveData[521], 0x043C,
SaveData[522], 0x043E,
SaveData[523], 0x043A,
SaveData[524], 0x0440,
SaveData[525], 0x0443,
SaveData[526], 0x0437,
SaveData[527], 0x0442,
SaveData[528], 0x043E,
SaveData[529], 0x043E,
SaveData[530], 0x0440,
SaveData[531], 0x043D,
SaveData[532], 0x043C,
SaveData[533], 0x0442,
SaveData[534], 0x043D,
SaveData[535], 0x043C,
SaveData[536], 0x043E,
SaveData[537], 0x043F,
SaveData[538], 0x0438,
SaveData[539], 0x043E,
SaveData[540], 0x043D,
SaveData[541], 0x0445,
SaveData[542], 0x0439,
SaveData[543], 0x0442,
SaveData[544], 0x043E,
SaveData[545], 0x043E,
SaveData[546], 0x0440,
SaveData[547], 0x043C,
SaveData[548], 0x043C,
SaveData[549], 0x0445,
SaveData[550], 0x0438,
SaveData[551], 0x0442,
SaveData[552], 0x0440,
SaveData[553], 0x0441,
SaveData[554], 0x043D,
SaveData[555], 0x043F,
SaveData[556], 0x043E,
SaveData[557], 0x0443,
SaveData[558], 0x043A,
SaveData[559], 0x0442,
SaveData[560], 0x043D,
SaveData[561], 0x043F,
SaveData[562], 0x043F,
SaveData[563], 0x0440,
SaveData[564], 0x0441,
SaveData[565], 0x0445,
SaveData[566], 0x043B,
SaveData[567], 0x043F,
SaveData[568], 0x043F,
SaveData[569], 0x043F,
SaveData[570], 0x043F,
SaveData[571], 0x043D,
SaveData[572], 0x043F,
SaveData[573], 0x0441,
SaveData[574], 0x043B,
SaveData[575], 0x0441,
SaveData[576], 0x0441,
