SaveData[613], 0x0C6C,
SaveData[614], 0x0C6B,
SaveData[615], 0x0C6D,
SaveData[616], 0x0C6B,
SaveData[617], 0x0C6B,
SaveData[618], 0x0C6A,
SaveData[619], 0x0C6F,
SaveData[620], 0x0C69,
SaveData[621], 0x0C6D,
SaveData[622], 0x0C6B,
SaveData[623], 0x0C6C,
SaveData[624], 0x0C6C,
SaveData[625], 0x0C6B,
SaveData[626], 0x0C69,
SaveData[627], 0x0C6E,
SaveData[628], 0x0C69,
SaveData[629], 0x0C6B,
SaveData[630], 0x0C6B,
SaveData[631], 0x0C6D,
SaveData[632], 0x0C6C,
SaveData[633], 0x0C6B,
SaveData[634], 0x0C6B,
SaveData[635], 0x0C6E,
SaveData[636], 0x0C69,
SaveData[637], 0x0C6C,
SaveData[638], 0x0C6A,
SaveData[639], 0x0C6C,
SaveData[640], 0x0C6B,
SaveData[641], 0x0C6B,
SaveData[642], 0x0C6A,
SaveData[643], 0x0C6F,
SaveData[644], 0x0C69,
SaveData[645], 0x0C6C,
SaveData[646], 0x0C6B,
SaveData[647], 0x0C6C,
SaveData[648], 0x0C6A,
SaveData[649], 0x0C6B,
SaveData[650], 0x0C6B,
SaveData[651], 0x0C6C,
SaveData[652], 0x0C69,
SaveData[653], 0x0C6E,
SaveData[654], 0x0C69,
SaveData[655], 0x0C6D,
SaveData[656], 0x0C6D,
SaveData[657], 0x0C6C,
SaveData[658], 0x0C6A,
SaveData[659], 0x0C6D,
SaveData[660], 0x0C69,
SaveData[661], 0x0C6C,
SaveData[662], 0x0C6B,
SaveData[663], 0x0C6D,
SaveData[664], 0x0C6B,
SaveData[665], 0x0C6B,
SaveData[666], 0x0C6B,
SaveData[667], 0x0C6E,
SaveData[668], 0x0C6A,
SaveData[669], 0x0C6C,
SaveData[670], 0x0C6B,
SaveData[671], 0x0C6C,
SaveData[672], 0x0C6C,
SaveData[673], 0x0C6A,
SaveData[674], 0x0C6B,
SaveData[675], 0x0C6D,
SaveData[676], 0x0C6A,
SaveData[677], 0x0C6D,
SaveData[678], 0x0C6A,
SaveData[679], 0x0C6C,
SaveData[680], 0x0C6D,
SaveData[681], 0x0C6A,
SaveData[682], 0x0C6B,
SaveData[683], 0x0C6D,
SaveData[684], 0x0C6B,
SaveData[685], 0x0C6D,
SaveData[686], 0x0C6A,
SaveData[687], 0x0C6D,
SaveData[688], 0x0C6C,
