SaveData[753], 0x043C,
SaveData[754], 0x0439,
SaveData[755], 0x043A,
SaveData[756], 0x043E,
SaveData[757], 0x043A,
SaveData[758], 0x043E,
SaveData[759], 0x0438,
SaveData[760], 0x043C,
SaveData[761], 0x043A,
SaveData[762], 0x043A,
SaveData[763], 0x043A,
SaveData[764], 0x043A,
SaveData[765], 0x043E,
SaveData[766], 0x043C,
SaveData[767], 0x0436,
SaveData[768], 0x043E,
SaveData[769], 0x043E,
SaveData[770], 0x0436,
SaveData[771], 0x043A,
SaveData[772], 0x043F,
SaveData[773], 0x0436,
SaveData[774], 0x043E,
SaveData[775], 0x0436,
SaveData[776], 0x043C,
SaveData[777], 0x043C,
SaveData[778], 0x0439,
SaveData[779], 0x043A,
SaveData[780], 0x043E,
SaveData[781], 0x043E,
SaveData[782], 0x043D,
SaveData[783], 0x0436,
SaveData[784], 0x043E,
SaveData[785], 0x043C,
SaveData[786], 0x0436,
SaveData[787], 0x043A,
SaveData[788], 0x043C,
SaveData[789], 0x0440,
SaveData[790], 0x043E,
SaveData[791], 0x0438,
SaveData[792], 0x043A,
SaveData[793], 0x043E,
SaveData[794], 0x043A,
SaveData[795], 0x043A,
SaveData[796], 0x043C,
SaveData[797], 0x0438,
SaveData[798], 0x043D,
SaveData[799], 0x0436,
SaveData[800], 0x043E,
SaveData[801], 0x043E,
SaveData[802], 0x043A,
SaveData[803], 0x043A,
SaveData[804], 0x043C,
SaveData[805], 0x0433,
SaveData[806], 0x043E,
SaveData[807], 0x043A,
SaveData[808], 0x043E,
SaveData[809], 0x043E,
SaveData[810], 0x043A,
SaveData[811], 0x043C,
SaveData[812], 0x043E,
SaveData[813], 0x043C,
SaveData[814], 0x043D,
SaveData[815], 0x0434,
SaveData[816], 0x043C,
SaveData[817], 0x043B,
SaveData[818], 0x043A,
SaveData[819], 0x043C,
SaveData[820], 0x043D,
SaveData[821], 0x043A,
SaveData[822], 0x043E,
SaveData[823], 0x0436,
SaveData[824], 0x043E,
SaveData[825], 0x043C,
SaveData[826], 0x043A,
SaveData[827], 0x043C,
SaveData[828], 0x0440,
SaveData[829], 0x043E,
SaveData[830], 0x0438,
SaveData[831], 0x0436,
SaveData[832], 0x0442,
SaveData[833], 0x043A,
SaveData[834], 0x0435,
SaveData[835], 0x0438,
SaveData[836], 0x043C,
SaveData[837], 0x0438,
SaveData[838], 0x043C,
SaveData[839], 0x043A,
SaveData[840], 0x043D,
SaveData[841], 0x043E,
SaveData[842], 0x0438,
SaveData[843], 0x043A,
SaveData[844], 0x043C,
SaveData[845], 0x043A,
SaveData[846], 0x043E,
SaveData[847], 0x0438,
SaveData[848], 0x043C,
SaveData[849], 0x043A,
SaveData[850], 0x043C,
SaveData[851], 0x043A,
SaveData[852], 0x043A,
SaveData[853], 0x043A,
SaveData[854], 0x043E,
SaveData[855], 0x0436,
SaveData[856], 0x043C,
SaveData[857], 0x043E,
SaveData[858], 0x043A,
SaveData[859], 0x0438,
SaveData[860], 0x043C,
SaveData[861], 0x0438,
SaveData[862], 0x043C,
SaveData[863], 0x0436,
SaveData[864], 0x043E,
SaveData[865], 0x043A,
SaveData[866], 0x043E,
SaveData[867], 0x043A,
SaveData[868], 0x043E,
SaveData[869], 0x043C,
SaveData[870], 0x043E,
SaveData[871], 0x0436,
SaveData[872], 0x043A,
SaveData[873], 0x043E,
SaveData[874], 0x0438,
SaveData[875], 0x043A,
SaveData[876], 0x043E,
SaveData[877], 0x043A,
SaveData[878], 0x043E,
SaveData[879], 0x0434,
SaveData[880], 0x043C,
SaveData[881], 0x043E,
SaveData[882], 0x043A,
SaveData[883], 0x043A,
SaveData[884], 0x0438,
SaveData[885], 0x043B,
SaveData[886], 0x043C,
SaveData[887], 0x0436,
SaveData[888], 0x043A,
SaveData[889], 0x043A,
SaveData[890], 0x043A,
SaveData[891], 0x043C,
SaveData[892], 0x043A,
SaveData[893], 0x043A,
SaveData[894], 0x043C,
SaveData[895], 0x0436,
SaveData[896], 0x043E,
SaveData[897], 0x043E,
SaveData[898], 0x043B,
SaveData[899], 0x0439,
SaveData[900], 0x043E,
SaveData[901], 0x043A,
SaveData[902], 0x043E,
SaveData[903], 0x0430,
SaveData[904], 0x043C,
SaveData[905], 0x043C,
SaveData[906], 0x0438,
SaveData[907], 0x043A,
SaveData[908], 0x043E,
SaveData[909], 0x043E,
SaveData[910], 0x043E,
SaveData[911], 0x0436,
SaveData[912], 0x043E,
SaveData[913], 0x043C,
SaveData[914], 0x043A,
SaveData[915], 0x0436,
SaveData[916], 0x0439,
SaveData[917], 0x0440,
SaveData[918], 0x043A,
SaveData[919], 0x0432,
SaveData[920], 0x043E,
SaveData[921], 0x043E,
SaveData[922], 0x0439,
SaveData[923], 0x043A,
SaveData[924], 0x043C,
SaveData[925], 0x0436,
SaveData[926], 0x043E,
SaveData[927], 0x043A,
SaveData[928], 0x043D,
SaveData[929], 0x043C,
SaveData[930], 0x0440,
SaveData[931], 0x043A,
SaveData[932], 0x043E,
SaveData[933], 0x043A,
SaveData[934], 0x0431,
SaveData[935], 0x0434,
SaveData[936], 0x043A,
SaveData[937], 0x043A,
SaveData[938], 0x0439,
SaveData[939], 0x043A,
SaveData[940], 0x043E,
SaveData[941], 0x043B,
SaveData[942], 0x043E,
SaveData[943], 0x0436,
SaveData[944], 0x0438,
SaveData[945], 0x043C,
SaveData[946], 0x043A,
SaveData[947], 0x0436,
SaveData[948], 0x043D,
SaveData[949], 0x043A,
SaveData[950], 0x043A,
SaveData[951], 0x0436,
SaveData[952], 0x043E,
SaveData[953], 0x043D,
SaveData[954], 0x0439,
