SaveData[746], 0x0C7B,
SaveData[747], 0x0C7E,
SaveData[748], 0x0C7E,
SaveData[749], 0x0C7C,
SaveData[750], 0x0C7C,
SaveData[751], 0x0C7E,
SaveData[752], 0x0C7C,
SaveData[753], 0x0C7F,
SaveData[754], 0x0C7B,
SaveData[755], 0x0C7E,
SaveData[756], 0x0C7D,
SaveData[757], 0x0C7D,
SaveData[758], 0x0C7E,
SaveData[759], 0x0C7F,
SaveData[760], 0x0C7C,
SaveData[761], 0x0C7E,
SaveData[762], 0x0C7B,
SaveData[763], 0x0C80,
SaveData[764], 0x0C7F,
SaveData[765], 0x0C7B,
SaveData[766], 0x0C7C,
SaveData[767], 0x0C7E,
SaveData[768], 0x0C7C,
SaveData[769], 0x0C7F,
SaveData[770], 0x0C7A,
SaveData[771], 0x0C7E,
SaveData[772], 0x0C7C,
SaveData[773], 0x0C7C,
SaveData[774], 0x0C7C,
SaveData[775], 0x0C7F,
SaveData[776], 0x0C7C,
SaveData[777], 0x0C7F,
SaveData[778], 0x0C7A,
SaveData[779], 0x0C7E,
SaveData[780], 0x0C7E,
SaveData[781], 0x0C7C,
SaveData[782], 0x0C7C,
SaveData[783], 0x0C7E,
SaveData[784], 0x0C7C,
SaveData[785], 0x0C7E,
SaveData[786], 0x0C7B,
SaveData[787], 0x0C7F,
SaveData[788], 0x0C7E,
SaveData[789], 0x0C7D,
SaveData[790], 0x0C7D,
SaveData[791], 0x0C7E,
SaveData[792], 0x0C7D,
SaveData[793], 0x0C80,
SaveData[794], 0x0C7B,
SaveData[795], 0x0C7F,
SaveData[796], 0x0C7C,
SaveData[797], 0x0C7C,
SaveData[798], 0x0C7E,
SaveData[799], 0x0C7D,
SaveData[800], 0x0C7D,
SaveData[801], 0x0C7E,
SaveData[802], 0x0C7A,
SaveData[803], 0x0C7F,
SaveData[804], 0x0C7C,
SaveData[805], 0x0C7D,
SaveData[806], 0x0C7D,
SaveData[807], 0x0C7C,
SaveData[808], 0x0C7E,
SaveData[809], 0x0C80,
SaveData[810], 0x0C79,
SaveData[811], 0x0C7E,
SaveData[812], 0x0C7D,
SaveData[813], 0x0C7C,
SaveData[814], 0x0C7D,
SaveData[815], 0x0C7D,
